date,united,party,national,american,john,south,world,british,australian,australia,university,international,house,york,european,wikinews,bush,north,david,america,city,canada,department,union,london,council,iraq,state,kingdom,court,george,nations,china,news,u.s.,democratic,uk,france,obama,washington,michael,europe,us,bbc,center,committee,west,east,paul,for,security,california,africa,senate,war,air,england,white,germany,french,india,ministry,russia,zealand,press,israel,republic,iran,japan,category,times,police,afghanistan,association,robert,peter,chinese,internet,act,de,islamic,county,cup,commission,african,britain,mark,agency,iraqi,space,james,pakistan,korea,park,justice,un,office,royal,army,central
201212,10,1,3,9,3,7,3,2,22,20,4,2,3,3,0,19,0,7,3,4,5,4,2,1,3,1,0,3,5,5,2,2,0,5,2,6,4,0,6,2,3,4,2,0,4,7,1,2,2,2,1,5,2,2,0,0,0,1,0,1,1,1,2,3,0,0,3,3,1,0,2,2,0,0,0,5,2,2,2,0,1,2,25,2,1,1,2,2,0,1,2,0,4,3,0,1,0,1,1,1
201302,8,4,4,1,7,9,32,10,2,10,3,3,3,3,2,13,0,4,6,1,5,6,1,2,2,2,0,0,7,1,1,1,0,4,0,0,1,11,0,2,5,0,1,5,1,5,2,0,2,3,0,2,1,0,0,0,3,0,3,4,2,0,9,4,0,0,1,1,2,0,1,2,1,0,3,6,0,1,1,4,1,4,4,0,0,9,5,1,0,0,3,0,3,6,4,1,0,1,0,1
201301,6,3,2,4,2,6,5,6,7,6,2,3,4,1,4,5,0,0,2,1,2,4,1,1,5,3,0,1,3,1,1,2,3,2,1,0,3,1,1,1,1,1,2,3,2,7,0,0,0,5,0,0,0,2,0,0,3,1,2,1,1,0,0,0,0,2,2,0,1,0,1,0,0,0,0,0,1,1,1,3,0,0,1,4,0,2,2,0,0,0,0,2,1,0,0,0,1,0,0,0
201303,7,8,9,2,7,7,8,6,10,7,10,7,3,2,6,3,0,1,8,3,3,0,1,4,3,0,0,1,6,1,1,0,0,6,2,1,3,3,2,3,0,2,0,3,1,4,0,1,3,3,1,2,1,2,0,0,3,1,2,2,3,0,3,3,3,0,0,0,4,0,3,3,0,0,1,3,1,0,2,2,1,2,0,2,2,3,1,1,0,2,1,0,0,2,1,0,1,1,0,0
201304,8,7,4,1,11,5,6,6,7,8,6,3,4,1,1,5,0,4,3,1,2,2,1,1,3,1,0,0,4,7,1,3,1,1,0,1,7,4,1,3,2,0,0,3,0,2,1,1,2,3,0,0,0,3,2,0,1,1,1,1,0,0,1,0,2,1,2,2,0,0,1,2,0,1,0,1,0,1,2,0,3,0,0,1,0,2,0,0,0,0,0,0,3,2,5,1,1,2,0,0
201305,6,0,2,0,0,1,1,0,6,8,3,0,4,1,0,1,0,0,2,1,0,0,4,0,0,2,0,5,3,0,1,1,2,0,2,0,0,0,2,1,0,0,3,0,1,0,1,0,1,1,1,1,0,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,3,0,2,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
201306,3,3,2,2,4,2,0,2,4,4,4,1,0,1,2,7,0,1,2,0,1,3,1,1,3,2,0,0,3,6,0,0,0,2,1,0,2,2,2,1,3,1,1,2,0,2,0,1,0,1,0,2,0,0,0,1,0,0,0,3,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,3,0,0,4,0,2
201307,4,6,4,2,1,4,11,2,3,6,0,5,1,0,5,11,0,0,5,4,0,1,1,5,2,1,0,0,0,0,3,0,1,1,0,0,0,8,0,0,0,2,1,1,0,2,0,1,0,4,0,0,0,1,0,1,0,0,2,0,2,4,1,0,0,2,1,0,2,0,0,0,1,3,1,1,0,0,1,4,1,3,1,1,2,0,1,0,0,0,1,0,2,3,3,0,1,0,0,0
201308,12,3,2,1,3,7,4,5,1,5,0,5,5,8,6,5,0,5,5,0,4,4,1,5,4,0,0,2,6,1,1,5,2,4,0,1,6,1,3,1,0,1,0,2,3,4,0,1,1,1,1,0,2,1,1,5,0,2,1,1,1,2,6,1,0,0,2,0,0,0,2,1,0,6,0,1,3,2,2,1,0,0,0,0,0,1,0,4,0,0,0,3,3,2,0,3,1,1,2,0
201309,11,2,7,9,2,8,14,5,11,10,15,11,4,3,1,10,0,7,3,7,0,3,2,1,5,11,3,4,4,3,0,7,6,0,0,0,5,2,8,2,4,1,7,1,1,7,2,6,0,6,7,1,0,0,2,1,2,1,3,0,4,0,6,4,0,1,2,4,4,0,0,0,2,3,1,0,2,0,5,0,2,0,0,0,0,2,0,0,0,0,0,0,3,3,1,5,2,0,0,1
201310,3,8,3,1,5,9,4,5,4,5,8,6,6,2,5,6,0,5,4,1,1,3,3,0,2,1,0,4,3,1,1,1,1,2,1,3,4,3,3,1,3,1,8,2,1,2,3,4,2,4,1,1,0,3,3,2,6,1,4,0,1,0,3,1,1,1,4,0,4,1,1,3,0,2,2,1,0,2,6,0,0,0,2,2,0,1,1,0,0,0,1,0,9,3,0,1,1,1,0,0
